ID,Stock,Date,Len,Age
5782,BBN,10/22/2013,537,14
5783,BBN,10/22/2013,570,20
5784,BBN,10/22/2013,548,18
5785,BBN,10/22/2013,437,23
5786,BBN,10/22/2013,452,11
5787,BBN,10/22/2013,372,6
5788,BBN,10/22/2013,431,22
5789,BBN,10/22/2013,434,12
5790,BBN,10/22/2013,554,17
5791,BBN,10/22/2013,535,13
5792,BBN,10/22/2013,505,9
5793,BBN,10/22/2013,525,9
5794,BBN,10/22/2013,557,18
5795,BBN,10/22/2013,594,17
5796,BBN,10/22/2013,461,8
5797,BBN,10/22/2013,478,11
5798,BBN,10/22/2013,506,21
5799,BBN,10/22/2013,527,20
5800,BBN,10/22/2013,535,19
5801,BBN,10/22/2013,535,12
5802,BBN,10/22/2013,520,11
5803,BBN,10/22/2013,505,13
5804,BBN,10/22/2013,520,17
5805,BBN,10/22/2013,559,18
5806,BBN,10/22/2013,523,9
5807,BBN,10/22/2013,573,17
4651,BBN,10/12/2012,495,12
4658,BBN,10/12/2012,469,10
4662,BBN,10/12/2012,549,18
4678,BBN,10/12/2012,484,22
4689,BBN,10/12/2012,534,21
4699,BBN,10/12/2012,521,11
3009,GreenBay,10/24/2013,586,12
3010,GreenBay,10/24/2013,523,19
3011,GreenBay,10/24/2013,535,14
3012,GreenBay,10/24/2013,527,12
3013,GreenBay,10/24/2013,521,12
3014,GreenBay,10/24/2013,562,12
3015,GreenBay,10/24/2013,508,9
3016,GreenBay,10/24/2013,589,13
3017,GreenBay,10/24/2013,537,15
3019,GreenBay,10/24/2013,574,17
3020,GreenBay,10/24/2013,574,19
3021,GreenBay,10/24/2013,560,11
3022,GreenBay,10/24/2013,572,19
3023,GreenBay,10/24/2013,535,19
3024,GreenBay,10/24/2013,622,18
3025,GreenBay,10/24/2013,538,20
3027,GreenBay,10/24/2013,548,20
3028,GreenBay,10/24/2013,586,20
3029,GreenBay,10/24/2013,576,16
3030,GreenBay,10/24/2013,590,16
3031,GreenBay,10/24/2013,513,13
3032,GreenBay,10/24/2013,560,19
3033,GreenBay,10/24/2013,523,17
3034,GreenBay,10/24/2013,578,18
3035,GreenBay,10/24/2013,525,13
3036,GreenBay,10/24/2013,599,15
3037,GreenBay,10/24/2013,523,22
3038,GreenBay,10/24/2013,571,19
3039,GreenBay,10/24/2013,545,15
3041,GreenBay,10/24/2013,535,12
3042,GreenBay,10/24/2013,546,16
3043,GreenBay,10/24/2013,525,18
3044,GreenBay,10/24/2013,597,22
3045,GreenBay,10/24/2013,555,22
3046,GreenBay,10/24/2013,566,14
3047,GreenBay,10/24/2013,542,12
3048,GreenBay,10/24/2013,582,15
3050,GreenBay,10/24/2013,532,12
3052,GreenBay,10/24/2013,542,21
3053,GreenBay,10/24/2013,523,11
3054,GreenBay,10/24/2013,528,21
3055,GreenBay,10/24/2013,556,17
3056,GreenBay,10/24/2013,609,20
3057,GreenBay,10/24/2013,556,20
3058,GreenBay,10/24/2013,509,12
4653,GreenBay,10/12/2012,578,12
4657,GreenBay,10/12/2012,542,21
4659,GreenBay,10/12/2012,532,18
4660,GreenBay,10/12/2012,556,15
4663,GreenBay,10/12/2012,559,21
4664,GreenBay,10/12/2012,563,20
4666,GreenBay,10/12/2012,405,6
4667,GreenBay,10/12/2012,538,15
4670,GreenBay,10/12/2012,595,17
4671,GreenBay,10/12/2012,541,11
4674,GreenBay,10/12/2012,550,15
4675,GreenBay,10/12/2012,588,16
4679,GreenBay,10/12/2012,504,10
4680,GreenBay,10/12/2012,494,9
4682,GreenBay,10/12/2012,515,15
4684,GreenBay,10/12/2012,550,12
4686,GreenBay,10/12/2012,553,11
4687,GreenBay,10/12/2012,486,14
4688,GreenBay,10/12/2012,479,11
4694,GreenBay,10/12/2012,575,17
4695,GreenBay,10/12/2012,552,16
4697,GreenBay,10/12/2012,520,14
4698,GreenBay,10/12/2012,541,18
4700,GreenBay,10/12/2012,588,11
5111,GreenBay,10/27/2012,555,22
5112,GreenBay,10/27/2012,584,15
5113,GreenBay,10/27/2012,554,14
5116,GreenBay,10/27/2012,554,17
5119,GreenBay,10/27/2012,546,19
5126,GreenBay,10/27/2012,566,18
5128,GreenBay,10/27/2012,595,16
5129,GreenBay,10/27/2012,573,18
5130,GreenBay,10/27/2012,583,17
5133,GreenBay,10/27/2012,509,15
5136,GreenBay,10/27/2012,570,19
5146,GreenBay,10/27/2012,562,12
5148,GreenBay,10/27/2012,517,10
5149,GreenBay,10/27/2012,545,17
